well_id,descricao,de_m,para_m
PW_030,Fm Piramboia Sup,253.532592773438,337.0849609375
PW_030,Fm Piramboia Inf,337.0849609375,376.11
PW_031,Fm Botucatu,0.0,84.157958984375
PW_031,Fm Guará Sup,84.157958984375,103.845825195312
PW_031,Fm Guará Inf,103.845825195312,148.410827636719
PW_031,Fm Piramboia Sup,148.410827636719,214.179565429688
PW_031,Fm Piramboia Inf,214.179565429688,221.79
PW_032,Fm Serra Geral,0.0,114.497131347656
PW_032,Fm Botucatu,114.497131347656,173.5166015625
PW_032,Fm Guará Sup,173.5166015625,190.280456542969
PW_032,Fm Guará Inf,190.280456542969,220.596923828125
PW_032,Fm Piramboia Sup,220.596923828125,288.293395996094
PW_032,Diabásio,288.293395996094,288.8828125
PW_032,Fm Piramboia Inf,288.8828125,344.3
PW_033,Fm Serra Geral,0.0,147.937042236328
PW_033,Fm Botucatu,147.937042236328,249.403533935547
PW_033,Fm Guará Sup,249.403533935547,266.011901855469
PW_033,Fm Guará Inf,266.011901855469,290.159851074219
PW_033,Fm Piramboia Sup,290.159851074219,337.017944335938
PW_033,Fm Piramboia Inf,337.017944335938,359.46
PW_034,Fm Serra Geral,0.0,139.405456542969
PW_034,Fm Botucatu,139.405456542969,218.792297363281
PW_034,Fm Guará Sup,218.792297363281,253.79248046875
PW_034,Fm Guará Inf,253.79248046875,280.961853027344
PW_034,Fm Piramboia Sup,280.961853027344,296.98
PW_035,Fm Botucatu,0.0,65.2842407226562
PW_035,Fm Guará Sup,65.2842407226562,92.4118957519531
PW_035,Fm Guará Inf,92.4118957519531,141.496032714844
PW_035,Fm Piramboia Sup,141.496032714844,201.301116943359
PW_035,Fm Piramboia Inf,201.301116943359,235.96
PW_036,Fm Botucatu,0.0,82.3630676269531
PW_036,Fm Guará Sup,82.3630676269531,93.4572143554688
PW_036,Fm Guará Inf,93.4572143554688,136.228790283203
PW_036,Fm Piramboia Sup,136.228790283203,178.811279296875
PW_036,Fm Piramboia Inf,178.811279296875,198.063049316406
PW_036,Diabásio,198.063049316406,200.73
PW_037,Fm Serra Geral,0.0,173.729736328125
PW_037,Fm Botucatu,173.729736328125,272.637084960938
PW_037,Fm Guará Sup,272.637084960938,288.777709960938
PW_037,Fm Guará Inf,288.777709960938,327.048309326172
PW_037,Fm Piramboia Sup,327.048309326172,356.27
PW_038,Fm Botucatu,0.0,92.456298828125
PW_038,Fm Guará Sup,92.456298828125,107.691925048828
PW_038,Fm Guará Inf,107.691925048828,143.900360107422
PW_038,Fm Piramboia Sup,143.900360107422,212.657836914062
PW_038,Fm Piramboia Inf,212.657836914062,257.57
PW_039,Fm Serra Geral,0.0,2.39645624160767
PW_039,Fm Botucatu,2.39645624160767,141.880861759186
PW_039,Fm Guará Sup,141.880861759186,154.276400089264
PW_039,Fm Guará Inf,154.276400089264,179.211061954498
PW_039,Fm Piramboia Sup,179.211061954498,225.04486322403
PW_039,Fm Piramboia Inf,225.04486322403,248.0
PW_040,Fm Serra Geral,0.0,107.769012451172
PW_040,Fm Botucatu,107.769012451172,198.914825439453
PW_040,Fm Guará Sup,198.914825439453,233.438201904297
PW_040,Fm Guará Inf,233.438201904297,250.144989013672
PW_040,Fm Piramboia Sup,250.144989013672,304.258758544922
PW_040,Fm Piramboia Inf,304.258758544922,306.0
PW_042,Fm Botucatu,0.0,107.447143554688
PW_042,Fm Guará Sup,107.447143554688,115.688262939453
PW_042,Fm Guará Inf,115.688262939453,151.126678466797
PW_042,Fm Piramboia Sup,151.126678466797,223.16
PW_043,Fm Botucatu,0.0,66.7232055664062
PW_043,Fm Guará Sup,66.7232055664062,79.8863525390625
PW_043,Fm Guará Inf,79.8863525390625,100.832489013672
PW_043,Fm Piramboia Sup,100.832489013672,170.994323730469
PW_043,Fm Piramboia Inf,170.994323730469,198.88
PW_140,Fm Botucatu,0.0,78.0
PW_044,Fm Serra Geral,0.0,146.660827636719
PW_044,Fm Botucatu,146.660827636719,248.988494873047
PW_044,Fm Guará Sup,248.988494873047,261.279327392578
PW_044,Fm Guará Inf,261.279327392578,291.274536132812
PW_044,Fm Piramboia Sup,291.274536132812,336.241271972656
PW_044,Fm Piramboia Inf,336.241271972656,363.0
PW_045,Fm Serra Geral,0.0,166.708435058594
PW_045,Fm Botucatu,166.708435058594,268.009063720703
PW_045,Fm Guará Sup,268.009063720703,300.191802978516
PW_045,Fm Guará Inf,300.191802978516,328.174926757812
PW_045,Fm Piramboia Sup,328.174926757812,371.42
PW_046,Fm Serra Geral,0.0,99.3662109375
PW_046,Fm Botucatu,99.3662109375,203.269195556641
PW_046,Fm Guará Sup,203.269195556641,207.542755126953
PW_046,Fm Guará Inf,207.542755126953,242.4736328125
PW_046,Fm Piramboia Sup,242.4736328125,283.745147705078
PW_046,Fm Piramboia Inf,283.745147705078,322.179626464844
PW_046,Diabásio,322.179626464844,323.8
PW_047,Fm Serra Geral,0.0,44.169921875
PW_047,Fm Botucatu,44.169921875,146.770721435547
PW_047,Fm Guará Sup,146.770721435547,165.162719726562
PW_047,Fm Guará Inf,165.162719726562,194.950805664062
PW_047,Fm Piramboia Sup,194.950805664062,233.586822509766
PW_047,Fm Piramboia Inf,233.586822509766,257.23
PW_048,Fm Serra Geral,0.0,75.4941101074219
PW_048,Fm Botucatu,75.4941101074219,194.740051269531
PW_048,Fm Guará Sup,194.740051269531,227.759002685547
PW_048,Fm Guará Inf,227.759002685547,253.521636962891
PW_048,Fm Piramboia Sup,253.521636962891,296.490951538086
PW_048,Fm Piramboia Inf,296.490951538086,299.83
PW_049,Fm Botucatu,0.0,141.062286376953
PW_049,Fm Guará Sup,141.062286376953,154.744537353516
PW_049,Fm Guará Inf,154.744537353516,179.723693847656
PW_049,Fm Piramboia Sup,179.723693847656,230.0
PW_050,Fm Serra Geral,0.0,56.4913940429688
PW_050,Fm Botucatu,56.4913940429688,187.162078857422
PW_050,Fm Piramboia Sup,187.162078857422,191.327087402344
PW_050,Fm Piramboia Inf,191.327087402344,210.211669921875
PW_050,Diabásio,210.211669921875,239.41
PW_051,Fm Botucatu,0.0,92.4221496582031
PW_051,Fm Guará Sup,92.4221496582031,107.150115966797
PW_051,Fm Guará Inf,107.150115966797,133.692413330078
PW_051,Fm Piramboia Sup,133.692413330078,194.003723144531
PW_051,Fm Piramboia Inf,194.003723144531,198.73
PW_052,Fm Botucatu,0.0,72.98876953125
PW_052,Fm Guará Sup,72.98876953125,85.7128601074219
PW_052,Fm Guará Inf,85.7128601074219,138.192596435547
PW_052,Fm Piramboia Sup,138.192596435547,189.983917236328
PW_052,Fm Piramboia Inf,189.983917236328,255.47
PW_053,Fm Botucatu,0.0,104.602996826172
PW_053,Fm Guará Sup,104.602996826172,115.978790283203
PW_053,Fm Guará Inf,115.978790283203,153.309234619141
PW_053,Fm Piramboia Sup,153.309234619141,217.01
PW_054,Fm Serra Geral,0.0,121.935241699219
PW_054,Fm Botucatu,121.935241699219,230.458648681641
PW_054,Fm Guará Sup,230.458648681641,262.506103515625
PW_054,Fm Guará Inf,262.506103515625,279.349975585938
PW_054,Fm Piramboia Sup,279.349975585938,316.68
PW_055,Fm Serra Geral,0.0,89.8612670898438
PW_055,Fm Botucatu,89.8612670898438,139.033477783203
PW_055,Fm Guará Sup,139.033477783203,169.087921142578
PW_055,Fm Guará Inf,169.087921142578,202.242706298828
PW_055,Fm Piramboia Sup,202.242706298828,282.478118896484
PW_055,Fm Piramboia Inf,282.478118896484,301.7
PW_056,Fm Serra Geral,0.0,27.1188049316406
PW_056,Fm Botucatu,27.1188049316406,166.411804199219
PW_056,Fm Guará Inf,166.411804199219,172.39
PW_057,Fm Serra Geral,0.0,35.5347900390625
PW_057,Fm Botucatu,35.5347900390625,198.588195800781
PW_057,Fm Piramboia Sup,198.588195800781,204.0
PW_058,Fm Serra Geral,0.0,93.4310302734375
PW_058,Fm Botucatu,93.4310302734375,203.048095703125
PW_058,Fm Guará Sup,203.048095703125,228.221954345703
PW_058,Fm Guará Inf,228.221954345703,253.280487060547
PW_058,Fm Piramboia Sup,253.280487060547,307.937286376953
PW_058,Fm Piramboia Inf,307.937286376953,312.0
PW_059,Fm Serra Geral,0.0,119.715484619141
PW_059,Fm Botucatu,119.715484619141,246.844116210938
PW_059,Fm Guará Sup,246.844116210938,275.053131103516
PW_059,Fm Guará Inf,275.053131103516,305.358551025391
PW_059,Fm Piramboia Sup,305.358551025391,329.19
PW_060,Fm Serra Geral,0.0,77.2205810546875
PW_060,Fm Botucatu,77.2205810546875,192.129913330078
PW_060,Fm Guará Sup,192.129913330078,221.921539306641
PW_060,Fm Guará Inf,221.921539306641,259.670440673828
PW_060,Fm Piramboia Sup,259.670440673828,281.78
PW_061,Fm Serra Geral,0.0,98.8453063964844
PW_061,Fm Botucatu,98.8453063964844,197.549041748047
PW_061,Fm Guará Sup,197.549041748047,219.079803466797
PW_061,Fm Guará Inf,219.079803466797,249.965606689453
PW_061,Fm Piramboia Sup,249.965606689453,288.711273193359
